camis,dba,boro,bin,bbl,cuisine_description
41554424,COYOTE BOHEMIO,Queens,4082446,4034510012,Mexican
41554670,MORGAN STANLEY EMPLOYEE CAFETERIA,Manhattan,1000005,1000047501,American
41554812,MI PEQUENA CHOLULA DELI RESTAURANTE,Brooklyn,3075722,3033090037,Mexican
41554963,COLOMBIA RESTAURANT,Brooklyn,3021353,3009870044,Latin American
41555424,BEST DELI,Brooklyn,3010643,3007160037,American
41555573,CHINATOWN RESTAURANT,Brooklyn,3336977,3087820001,Chinese
41555577,LIGHTHOUSE,Brooklyn,3063036,3024110017,American
41555612,KINGSTON PIZZA,Brooklyn,3034311,3013000006,Jewish/Kosher
41555685,COLONIE,Brooklyn,3002743,3002750021,American
41555711,LI'S HAPPY FAMILY,Staten Island,5057251,5041910031,Chinese
41555821,TALK OF THE TOWN,Staten Island,5070224,5054330001,Bottled Beverages
41555860,DUNKIN,Queens,4436881,4006240008,Donuts
41555969,CHUCK E. CHEESE'S,Queens,4000000,4050667502,American
41555982,EL CAMION CANTINA,Manhattan,1005196,1004060001,Mexican
41556098,UDOM THAI,Brooklyn,3028591,3011540012,Thai
41556136,DANNY'S ATHENS RESTAURANT,Bronx,2025383,2037780005,American
41556209,NEW EMPIRE KITCHEN,Queens,4128775,4057410034,Chinese
41556469,MOSAIC,Queens,4018750,4008640074,American
41556473,PANDA HOUSE,Queens,4223608,4104970058,Chinese
41556769,BLUE RIBBON SUSHI BAR & GRILL ROOF DECK,Manhattan,1026055,1010480039,Japanese
41556790,FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,NULL,1,Hamburgers
41556791,JOE,Manhattan,1084477,1019730001,American
41556827,MOJO LATIN,Queens,4077470,4032340173,American
41557136,FUJI HANA RESTAURANT,Brooklyn,3192976,3071320004,Jewish/Kosher
41557377,JONES WOOD FOUNDRY,Manhattan,1077052,1014710101,English
41557551,ZHANG'S GARDEN,Queens,4209925,4098110004,Chinese
41557581,MISS LILY'S,Manhattan,1008335,1005260076,Caribbean
41557716,KITARO,Manhattan,1033112,1012320034,Chinese/Japanese
41557786,DUNKIN',Staten Island,5022933,5008870041,Donuts
41557884,KASBAH BBQ & GRILL,Manhattan,1081052,1012330011,Jewish/Kosher
41558242,HEALTHY LIVING 106 (Herbalife),Manhattan,1052033,1016340032,Other
41558375,PRET A MANGER,Manhattan,1036162,1012980023,Soups/Salads/Sandwiches
41558494,CHINESE FRIED CHICKEN,Bronx,2010816,2029980166,Chinese
41558513,ESSEN DELI,Brooklyn,3179867,3067130082,Jewish/Kosher
41558716,THE NEW RED BRICK RESTAURANT,Brooklyn,3115014,3050330039,Caribbean
41558768,BCAKENY,Brooklyn,3028564,3011530037,Bakery Products/Desserts
41558805,BANTER,Brooklyn,3063005,3024087504,American
41558918,ROGER WILLIAMS HOTEL,Manhattan,1016972,1008600061,American
41558982,GOLDEN EAGLE RESTAURANT,Bronx,NULL,2,American
41558986,TASTE KOREA 232,Brooklyn,3329876,3019240036,Korean
41559082,WOODSIDE PIZZA,Queens,4031402,4013340077,Italian
41559193,SUBWAY,Manhattan,1001631,1001490014,Sandwiches
41559330,LA PALMA RESTAURANT OF FAR ROCKAWAY,Queens,4300149,4157040060,Latin American
41559345,HEALTHY BLENDZ,Brooklyn,3205881,3075570084,"Juice, Smoothies, Fruit Salads"
41559365,DORO'S JAMAICAN RESTAURANT,Bronx,2097164,2024320011,Caribbean
41559459,FLOR DE BROADWAY RESTAURANT,Manhattan,1062269,1020860036,Latin American
41559772,KENNEDY FRIED CHICKEN,Bronx,2013918,2031740001,Chicken
41559805,DUNKIN,Brooklyn,3095219,3042390001,Donuts
41559843,DUNKIN BASKIN ROBBINS,Queens,4113212,4050040026,Donuts
41559846,DUNKIN,Queens,4061366,4027470048,Donuts
41559999,DARKHORSE,Manhattan,1001447,1001347502,American
41560032,NO. 1 KITCHEN,Staten Island,5047240,5032200026,Chinese
41560421,GRASSY POINT BAR & GRILL,Queens,4435622,4154810630,American
41560435,BASILIO'S INN RESTAURANT,Staten Island,5093258,5031210125,Italian
41560644,GOODFELLA'S PIZZERIA,Staten Island,5050040,5033790096,Italian
41560744,JOHN'S PIZZERIA AND RESTAURANT,Queens,4145769,4067180164,Pizza
41560794,JIMBO'S HAMBURGER,Bronx,2086776,2030430080,Hamburgers
41560827,CIRCLE LINE BROOKLYN,Manhattan,NULL,1,American
41560830,CIRCLE LINE QUEENS,Manhattan,NULL,1,American
41560849,CIRCLE LINE MANHATTAN,Manhattan,NULL,1,American
41561140,COTTA,Manhattan,1031339,1011987502,Italian
41561233,HA NOI,Brooklyn,3025982,3010920002,Southeast Asian
41561516,OBAO,Manhattan,1026476,1010550130,Thai
41561546,RUDY'S BAKERY,Queens,4082847,4034660002,Bakery Products/Desserts
41561572,SUBWAY,Queens,4615634,4020807501,Sandwiches
41561808,FALAFEL ON BROADWAY,Manhattan,1059853,1019930082,Middle Eastern
41561855,MARCELLINO,Manhattan,1007177,1004800001,Italian
41562128,DELI & COFFEE CORP. BREAKFAST & LUNCH,Queens,4209609,4097950098,Sandwiches
41562131,HAWA SMOOTHIES,Manhattan,1003620,1002840020,"Juice, Smoothies, Fruit Salads"
41562252,OMONIA NEXT DOOR,Queens,4008330,4006120038,Bakery Products/Desserts
41562412,EL RANCHO BURRITOS,Manhattan,1025002,1010360001,Tex-Mex
41562415,THE COMFORT DINER,Manhattan,1037580,1013180043,American
41562604,KATHY'S GOURMET ITALIAN ICES & ICE CREAM,Brooklyn,3122811,3052830037,Frozen Desserts
41562672,"DUNKIN',' BASKIN ROBBINS",Queens,4217372,4102090002,Donuts
41562680,DUNKIN,Queens,4216231,4101550069,Donuts
41562690,"DUNKIN', BASKIN ROBBINS",Queens,4212208,4099090001,Donuts
41562854,EL TUCANAZO BAR,Queens,4036226,4014710037,Latin American
41563113,APICIUS PIZZA,Queens,4311374,4008090060,Pizza
41563445,GMT TAVERN,Manhattan,1008268,1005257504,American
41563537,BENITO ONE,Manhattan,1006978,1004710034,Italian
41563549,GEORGE'S SIDESTREET DELI & GRILL,Queens,4112938,4049930051,Sandwiches
41563594,SCAGLIONE BROTHERS BAKERY,Bronx,2045006,2041080002,Sandwiches
41563682,H.K WONTON GARDEN,Manhattan,1079417,1001990023,Chinese
41563691,ECUADORIAN RESTAURANT II,Queens,4009497,4006340034,Latin American
41563707,PIZZERIA GIOVE,Staten Island,5057559,5042190049,Italian
41563809,WING WAH,Manhattan,1054806,1018060004,Chinese
41564000,SOFIA'S LITTLE ITALY,Manhattan,1087319,1002360024,Italian
41564165,DICK AND JANE'S,Brooklyn,3335272,3020900065,American
41564170,LIDO,Manhattan,1085332,1019220061,Italian
41564382,BAREBURGER,Manhattan,1018528,1008900045,Hamburgers
41564527,THE ORIGINAL CULPEPPERS RESTAURANT,Brooklyn,3114823,3050300040,Caribbean
41564700,SARABETH'S,Manhattan,1002029,1001807508,American
41564778,MELA'S CAFE,Bronx,2009516,2029070059,Spanish
41564788,THE LOCAL,Staten Island,NULL,5,American
41564907,EVE'S LOUNGE,Brooklyn,3029426,3011740001,American
41564928,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41564934,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41564945,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41564948,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41564956,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41564963,RADIO CITY MUSIC HALL,Manhattan,1083861,1012660001,American
41565257,PHYSICAL GRAFFITEA,Manhattan,1005823,1004350012,Coffee/Tea
41565416,SWEET BASIL,Brooklyn,3031105,3012310001,Thai
41565544,TANDOOR & CO,Queens,4072067,4030800012,Indian
41565555,HARVEST KITCHEN,Manhattan,1028646,1011250062,Latin American
41565678,CHECKERS,Bronx,2002457,2024430100,Hamburgers
41565686,THE LUTHERAN HALAL CAFE,Brooklyn,3013461,3007970002,Sandwiches
41565705,THE RUM HOUSE,Manhattan,1076192,1010180018,American
41565921,HALYARDS,Brooklyn,3021542,3009910037,American
41566063,BIERHAUS,Manhattan,1036179,1012990038,German
41566261,BAR CENTRALE,Manhattan,1025032,1010360142,American
41566334,THE ANCHORED INN,Brooklyn,3350278,3030460035,American
41566403,AGORA TAVERNA,Queens,4077481,4032380033,Greek
41566423,GOLDEN DRAGON RESTAURANT,Bronx,2007656,2028070032,Chinese
41566492,AU BON PAIN,Manhattan,1084781,1014800001,Soups/Salads/Sandwiches
41566597,MARINA RESTAURANT,Queens,4534222,4096740050,Spanish
41567009,STARBUCKS,Queens,4008367,4006130005,Coffee/Tea
41567044,EVELYN'S KITCHEN,Manhattan,1054718,1017950028,American
41567090,SHOGA-SUSHI & OYSTER BAR,Manhattan,1050059,1015500049,Asian/Asian Fusion
41567176,CARVEL,Queens,4030024,4012920046,Frozen Desserts
41567381,GOOGLE-TRUCK PIT,Manhattan,1013043,1007390001,American
41567407,AMC THEATRES,Manhattan,1024665,1010130012,American
41567414,AMC THEATRES,Manhattan,1024665,1010130012,American
41567437,ANGELA'S BAKERY,Brooklyn,3078032,3033920007,Bakery Products/Desserts
41567468,AMC THEATRES,Manhattan,1024665,1010130012,American
41567472,AMC THEATRES,Manhattan,1024665,1010130012,American
41567772,THAI 101,Brooklyn,3054811,3019030021,Thai
41567796,SOUVLAKI GR,Manhattan,1083471,1004120074,Greek
41567810,GREEN LAKE,Brooklyn,3116604,3050830014,Chinese
41567826,TURQUOISE KOSHER FISH RESTAURANT,Queens,4155094,4072060034,Jewish/Kosher
41567865,EMPELLON,Manhattan,1011165,1006190068,Mexican
41568107,TAPPO,Manhattan,1015592,1008260011,Pizza
41568366,VISTA SKY LOUNGE & CATERING (SHERATON FOUR POINTS),Queens,4539251,4003860033,American
41568372,MICHAEL'S CAFE & BAR,Queens,4539251,4003860033,American
41568640,HOT POT UNDER DE' TREE,Manhattan,1060862,1020460030,Caribbean
41568650,ANTOJITOS DELI FOOD,Brooklyn,3166813,3063730047,Spanish
41568894,UPRIGHT COFFEE,Brooklyn,3065136,3025740051,Coffee/Tea
41569069,CHINESE FRIED CHICKEN,Bronx,NULL,2,Chinese
41569081,VIDAELVA,Bronx,2026229,2038030005,Mexican
41569116,TAPROOM NO. 307,Manhattan,1082136,1009040001,American
41569184,BOHEMIAN SPIRIT RESTAURANT,Manhattan,1076316,1014480016,American
41569188,EMPIRE CHINESE RESTAURANT ZHENG,Bronx,2008812,2028760045,Chinese
41569216,COCO FRESH TEA & JUICE,Manhattan,1018058,1008790063,Coffee/Tea
41569330,CHIPOTLE MEXICAN GRILL,Manhattan,1048726,1015300004,Tex-Mex
41569380,TAQUERIA GUADALUPE,Manhattan,1052133,1016360121,Mexican
41569582,CHAVELA'S,Brooklyn,3324387,3011680060,Mexican
41569737,SAGAR CHINESE,Queens,4173966,4085070040,Chinese
41569764,BACCHUS,Brooklyn,NULL,3,French
41569904,SWAGAT,Manhattan,1082721,1012107502,Indian
41569979,SHAKE SHACK,Manhattan,1085867,1000167512,Hamburgers
41570001,BILLY'S BAKERY,Manhattan,1013280,1007450003,Bakery Products/Desserts
41570059,AAA KENNEDY FRIED CHICKEN,Staten Island,5103884,5001770012,Chicken
41570163,NEW CRISPY BAMBOO,Manhattan,1084054,1019400061,Chinese
41570217,CRUST,Queens,4000000,4009260001,American
41570371,LAVAZZA ESPRESSO BAR,Queens,NULL,NULL,American
41570383,KUNG FU TEA,Queens,NULL,4,Coffee/Tea
41570461,ROSARITO FISH SHACK & SHELTER PIZZA,Brooklyn,3062037,3023250018,Mexican
41570719,CHICKPEA,Manhattan,1083026,1007810002,American
41570932,STELLA'S COFFEE SHOP,Queens,4230249,4107410058,American
41571021,OM INDIAN RESTAURANT,Manhattan,1048661,1015280028,Indian
41571036,LOS COMPADRES RESTAURANT,Brooklyn,3014867,3008290033,Mexican
41571341,STIX RESTAURANT,Queens,4051261,4021350006,Jewish/Kosher
41571354,JIM BYRNE WEE PUB,Queens,4457216,4090330029,Irish
41571471,LITTLE CAESARS,Queens,4206764,4096760044,Pizza
41571795,KUM FUNG KITCHEN,Staten Island,5042341,5028360024,Chinese
41572018,"AIR BAR, NY DELI, TIM HORTONS",Queens,4530083,4099890070,American
41572079,MI RANCHITO MEXICAN RESTAURANT,Manhattan,1079914,1021540069,Mexican
41572121,LUKE'S PIZZA,Bronx,2120529,2029790011,Pizza
41572368,SUPREME BAGELS,Brooklyn,3155645,3061180012,Sandwiches
41572565,LUKE'S LOBSTER,Manhattan,1000851,1000290086,Seafood
41572581,MOLE CANTINA MEXICANA,Manhattan,1048896,1015350026,Mexican
41572590,THE MEATBALL SHOP,Brooklyn,3061924,3023190020,American
41572605,NEW SUNFLOWER,Bronx,2002920,2024760061,Chinese
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,Staten Island,5047240,5032200026,Pizza
41572691,DJERDAN,Queens,4008963,4006240039,Eastern European
41572874,SOMETHING'S COOKING CATERING,Queens,4004749,4003930008,American
41573305,WOK & ROLL,Queens,4000000,4142600001,Chinese
41573306,RED MANGO,Manhattan,1001263,1000917502,Frozen Desserts
41573314,SABANA LOUNGE,Bronx,2023762,2037370038,Spanish
41573408,LAUT,Manhattan,1016117,1008460013,Thai
41573619,DUNKIN,Brooklyn,3198645,3073300055,Donuts
41573716,ANTON'S,Manhattan,1011282,1006220010,American
41573739,CREPERIE,Manhattan,1008692,1005400005,American
41573961,GOOD VIEW BAKERY,Brooklyn,3162097,3062590044,Chinese
41573988,LA BOULANGERIE,Queens,4078031,4032580023,Bakery Products/Desserts
41573992,KAIA WINE BAR,Manhattan,1048267,1015190040,African
41574133,TWO8TWO BAR & BURGER,Brooklyn,3000821,3001810021,American
41574266,MOMOFUKU MILK BAR,Manhattan,1006911,1004690037,Coffee/Tea
41574275,BAGELSMITH,Brooklyn,3327262,3027620003,Bagels/Pretzels
41574355,"MBJ CAFETERIA, LAGUARDIA COMMUNITY COLLEGE",Queens,4003534,4002780001,American
41574370,GOLDEN SANDS CAFE,Brooklyn,3199760,3073520010,Bakery Products/Desserts
41574432,GREAT KILLS LITTLE LEAGUE INC,Staten Island,5061769,5045780001,American
41574441,PRINCESS PIZZA & RESTAURANT,Brooklyn,3023694,3010420010,Pizza
41574650,TROPICAL JERK,Queens,4230752,4107640021,Caribbean
41574708,PRONTO RESTAURANT,Staten Island,5107714,5055330031,Pizza
41574774,LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL,Manhattan,1081023,1011340001,American
41574776,PRELUDE CAFE & BAR (ALLICE TULLY HALL),Manhattan,1081023,1011340001,Coffee/Tea
41574945,CARIBBEAN VIBES JAMAICAN RESTAURANT AND BAKERY,Brooklyn,3116979,3050910049,Caribbean
41574968,PHAYUL RESTAURANT,Queens,4029815,4012850004,Asian/Asian Fusion
41575103,PAPA JOHN'S,Queens,4002868,4002020031,Pizza
41575384,LITTLE ITALY PIZZA,Manhattan,1030373,1011620029,Pizza
41575411,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,3114601,3050260097,Caribbean
41575449,MIDNIGHT EXPRESS DINER,Manhattan,1048853,1015340029,American
41575487,FRANK'S TRATTORIA,Manhattan,1078817,1009270029,Pizza
41575509,VILLA BRAZIL CAFE GRILL,Queens,4012326,4007030130,Brazilian
41575665,KAVE ESPRESSO BAR,Brooklyn,3070752,3030140014,Coffee/Tea
41575838,GOLD STAR JERK CENTER,Bronx,2058058,2046660049,Caribbean
41575871,KAL BAKERY & RESTAURANT,Brooklyn,3108686,3048710040,Creole
41575897,SAN CAFFE,Queens,4060403,4027040075,Bakery Products/Desserts
41576068,PARKSIDE PUB,Queens,4105577,4046590034,American
41576082,M & K SPANISH RESTAURANT II,Staten Island,5000069,5000070070,Latin American
41576114,CROWN FRIED CHICKEN,Brooklyn,3041867,3015380071,Chicken
41576328,BO BO KITCHEN CHINESE RESTAURANT,Brooklyn,3118484,3051470144,Chinese
